"DIRECTORIO","N_01","N_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
9446,3,2,19001,3,19,1,1,4,1,7,1,1,1,24,3
9446,3,2,19001,3,19,1,1,4,1,7,1,1,2,46,2
9446,3,2,19001,3,19,1,1,4,1,7,1,1,1,46,1
14740,3,2,19001,2,19,2,8,4,9,6,1,1,2,46,2
14740,3,2,19001,2,19,2,8,4,9,6,1,1,2,21,3
14740,3,2,19001,2,19,2,8,4,9,6,1,1,1,48,1
14740,3,2,19001,2,19,2,8,4,9,6,1,1,1,19,3
27872,3,2,19001,3,19,1,1,4,9,5,1,1,2,50,2
27872,3,2,19001,3,19,1,1,4,9,5,1,1,1,32,3
27872,3,2,19001,3,19,1,1,4,9,5,1,1,2,53,7
27872,3,2,19001,3,19,1,1,4,9,5,1,1,1,55,1
27872,3,2,19001,3,19,1,1,4,9,5,1,1,1,24,3
27872,3,2,19001,3,19,1,1,4,9,5,1,1,2,16,3
32028,3,2,19001,1,19,2,3,4,9,7,1,1,1,28,1
