"DIRECTORIO","K_02","K_03","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
17894,3,2,17174,3,17,1,1,4,9,5,1,1,1,40,2
17894,3,2,17174,3,17,1,1,4,9,5,1,1,2,36,1
18217,3,1,17174,3,17,2,3,5,9,7,1,2,2,21,7
18217,3,1,17174,3,17,2,3,5,9,7,1,2,2,1,8
18217,3,1,17174,3,17,2,3,5,9,7,1,2,2,23,1
18217,3,1,17174,3,17,2,3,5,9,7,1,2,2,3,8
18217,3,1,17174,3,17,2,3,5,9,7,1,2,1,5,3
18275,3,2,17873,3,17,1,1,4,9,6,1,1,1,35,7
18275,3,2,17873,3,17,1,1,4,9,6,1,1,1,39,1
18423,3,2,17174,4,17,1,6,4,9,3,1,1,1,64,1
18423,3,2,17174,4,17,1,6,4,9,3,1,1,2,63,2
18607,3,2,17873,3,17,1,1,4,9,6,2,3,1,80,1
18607,3,2,17873,3,17,1,1,4,9,6,2,3,1,47,3
18607,3,2,17873,3,17,1,1,4,9,6,2,3,2,70,2
18998,3,2,17174,2,17,1,1,4,9,4,1,1,2,17,2
18998,3,2,17174,2,17,1,1,4,9,4,1,1,1,21,1
19021,3,2,17001,4,17,1,2,4,9,7,2,1,1,40,3
19021,3,2,17001,4,17,1,2,4,9,7,2,1,2,45,3
19021,3,2,17001,4,17,1,2,4,9,7,2,1,1,30,3
19021,3,2,17001,4,17,1,2,4,9,7,2,1,2,66,2
19021,3,2,17001,4,17,1,2,4,9,7,2,1,2,12,5
19021,3,2,17001,4,17,1,2,4,9,7,2,1,1,24,5
19021,3,2,17001,4,17,1,2,4,9,7,2,1,1,66,1
19021,3,2,17001,4,17,1,2,4,9,7,2,1,1,56,8
19021,3,2,17001,4,17,1,2,4,9,7,2,1,1,36,3
19064,3,2,17873,3,17,1,1,4,9,5,1,2,2,63,1
19471,3,2,17001,4,17,1,1,4,9,7,1,2,2,50,1
19846,3,1,17001,3,17,2,3,5,9,4,NA,NA,1,55,1
19846,3,1,17001,3,17,2,3,5,9,4,NA,NA,1,17,3
19846,3,1,17001,3,17,2,3,5,9,4,NA,NA,2,50,2
20114,3,2,17174,2,17,1,1,3,9,3,1,1,1,49,1
20114,3,2,17174,2,17,1,1,3,9,3,1,1,1,48,7
20223,3,2,17174,3,17,1,1,5,9,7,1,2,2,23,3
20223,3,2,17174,3,17,1,1,5,9,7,1,2,1,9,3
20223,3,2,17174,3,17,1,1,5,9,7,1,2,2,42,1
20334,3,2,17174,2,17,2,4,5,9,3,1,2,2,41,2
20334,3,2,17174,2,17,2,4,5,9,3,1,2,1,54,1
20901,3,2,17174,3,17,2,3,4,9,4,NA,NA,2,70,1
20901,3,2,17174,3,17,2,3,4,9,4,NA,NA,2,37,5
20901,3,2,17174,3,17,2,3,4,9,4,NA,NA,1,15,8
21091,3,2,17873,3,17,1,1,4,9,7,1,1,1,26,1
21091,3,2,17873,3,17,1,1,4,9,7,1,1,2,22,2
21108,3,1,17873,3,17,2,1,4,9,6,1,1,1,52,1
21108,3,1,17873,3,17,2,1,4,9,6,1,1,1,14,3
21108,3,1,17873,3,17,2,1,4,9,6,1,1,1,20,3
21108,3,1,17873,3,17,2,1,4,9,6,1,1,2,46,2
21159,3,1,17873,3,17,1,1,3,9,6,1,2,1,29,1
21159,3,1,17873,3,17,1,1,3,9,6,1,2,2,28,2
21881,3,2,17174,1,17,2,5,3,9,3,1,1,1,78,10
21881,3,2,17174,1,17,2,5,3,9,3,1,1,1,55,3
21881,3,2,17174,1,17,2,5,3,9,3,1,1,2,71,1
22016,3,2,17001,3,17,1,1,4,9,3,1,2,1,68,2
22016,3,2,17001,3,17,1,1,4,9,3,1,2,2,44,1
22062,3,2,17001,3,17,2,4,4,9,4,1,2,1,5,3
22062,3,2,17001,3,17,2,4,4,9,4,1,2,1,38,1
22062,3,2,17001,3,17,2,4,4,9,4,1,2,1,0,3
22062,3,2,17001,3,17,2,4,4,9,4,1,2,2,39,2
22108,3,1,17001,5,17,1,1,5,9,7,1,1,2,60,1
22108,3,1,17001,5,17,1,1,5,9,7,1,1,1,24,3
22308,2,1,17001,3,17,1,1,5,9,5,1,2,2,4,5
22308,2,1,17001,3,17,1,1,5,9,5,1,2,2,21,3
22308,2,1,17001,3,17,1,1,5,9,5,1,2,1,5,3
22308,2,1,17001,3,17,1,1,5,9,5,1,2,2,42,1
22334,3,2,17001,4,17,1,1,4,9,3,1,2,2,58,1
22484,3,2,17174,2,17,1,1,5,9,3,1,1,1,17,5
22484,3,2,17174,2,17,1,1,5,9,3,1,1,2,9,5
22484,3,2,17174,2,17,1,1,5,9,3,1,1,1,33,3
22484,3,2,17174,2,17,1,1,5,9,3,1,1,2,38,3
22484,3,2,17174,2,17,1,1,5,9,3,1,1,1,63,1
22484,3,2,17174,2,17,1,1,5,9,3,1,1,2,56,2
22484,3,2,17174,2,17,1,1,5,9,3,1,1,2,26,4
22484,3,2,17174,2,17,1,1,5,9,3,1,1,1,37,4
22780,3,2,17001,4,17,1,1,5,9,7,2,1,1,22,1
22780,3,2,17001,4,17,1,1,5,9,7,2,1,1,31,2
22910,3,2,17001,4,17,1,1,5,9,7,1,2,1,24,1
22910,3,2,17001,4,17,1,1,5,9,7,1,2,2,25,2
23027,3,2,17001,4,17,2,3,3,9,7,1,1,2,56,2
23027,3,2,17001,4,17,2,3,3,9,7,1,1,1,54,1
23027,3,2,17001,4,17,2,3,3,9,7,1,1,1,22,3
23027,3,2,17001,4,17,2,3,3,9,7,1,1,2,81,6
23371,3,1,17001,3,17,1,1,3,9,5,1,1,2,60,1
23371,3,1,17001,3,17,1,1,3,9,5,1,1,1,32,3
23371,3,1,17001,3,17,1,1,3,9,5,1,1,1,30,3
23380,3,2,17873,3,17,2,4,3,9,4,1,2,1,9,8
23380,3,2,17873,3,17,2,4,3,9,4,1,2,1,25,8
23380,3,2,17873,3,17,2,4,3,9,4,1,2,2,57,1
23448,3,2,17001,3,17,2,3,4,9,4,NA,NA,2,39,2
23448,3,2,17001,3,17,2,3,4,9,4,NA,NA,2,13,3
23448,3,2,17001,3,17,2,3,4,9,4,NA,NA,2,16,3
23448,3,2,17001,3,17,2,3,4,9,4,NA,NA,1,45,1
23721,3,2,17001,3,17,2,3,5,9,6,1,1,2,44,7
23721,3,2,17001,3,17,2,3,5,9,6,1,1,2,47,1
23721,3,2,17001,3,17,2,3,5,9,6,1,1,1,22,8
23721,3,2,17001,3,17,2,3,5,9,6,1,1,2,9,3
23721,3,2,17001,3,17,2,3,5,9,6,1,1,1,16,3
24074,3,2,17174,2,17,1,1,4,9,5,1,2,1,34,2
24074,3,2,17174,2,17,1,1,4,9,5,1,2,2,16,3
24074,3,2,17174,2,17,1,1,4,9,5,1,2,2,36,1
24210,3,1,17001,3,17,2,3,3,9,7,2,2,2,18,3
24210,3,1,17001,3,17,2,3,3,9,7,2,2,2,48,2
24210,3,1,17001,3,17,2,3,3,9,7,2,2,1,58,1
26311,3,1,17001,3,17,2,3,4,1,7,1,1,1,24,1
26669,3,2,17001,3,17,1,2,3,9,5,1,1,1,27,1
26697,3,1,17001,3,17,2,3,4,9,7,1,1,1,21,2
26697,3,1,17001,3,17,2,3,4,9,7,1,1,2,22,1
26707,3,1,17001,4,17,1,1,4,9,5,1,1,1,34,1
26760,3,1,17001,4,17,1,2,4,9,3,1,1,1,63,1
26760,3,1,17001,4,17,1,2,4,9,3,1,1,2,58,2
26816,3,2,17001,3,17,2,3,3,9,6,1,2,2,4,5
26816,3,2,17001,3,17,2,3,3,9,6,1,2,1,16,5
26816,3,2,17001,3,17,2,3,3,9,6,1,2,1,79,1
26816,3,2,17001,3,17,2,3,3,9,6,1,2,2,70,2
26816,3,2,17001,3,17,2,3,3,9,6,1,2,2,42,3
26845,3,2,17001,3,17,1,1,4,9,4,1,1,1,47,3
26845,3,2,17001,3,17,1,1,4,9,4,1,1,2,78,2
26845,3,2,17001,3,17,1,1,4,9,4,1,1,1,77,1
26845,3,2,17001,3,17,1,1,4,9,4,1,1,1,50,3
26921,3,2,17001,3,17,1,1,5,9,6,1,1,1,12,3
26921,3,2,17001,3,17,1,1,5,9,6,1,1,1,33,1
26921,3,2,17001,3,17,1,1,5,9,6,1,1,2,43,2
26921,3,2,17001,3,17,1,1,5,9,6,1,1,1,18,8
27021,3,2,17001,3,17,1,1,4,9,3,1,2,2,51,1
27111,2,1,17001,4,17,2,3,4,9,7,1,2,1,44,1
27111,2,1,17001,4,17,2,3,4,9,7,1,2,2,23,3
27111,2,1,17001,4,17,2,3,4,9,7,1,2,2,49,2
27184,3,2,17380,3,17,1,1,5,9,7,1,1,1,25,8
27184,3,2,17380,3,17,1,1,5,9,7,1,1,1,24,1
27184,3,2,17380,3,17,1,1,5,9,7,1,1,1,25,8
28360,3,2,17001,3,17,1,1,5,9,7,1,2,2,26,1
28360,3,2,17001,3,17,1,1,5,9,7,1,2,1,31,2
29816,3,2,17001,2,17,1,1,4,9,4,1,1,1,35,2
29816,3,2,17001,2,17,1,1,4,9,4,1,1,2,13,3
29816,3,2,17001,2,17,1,1,4,9,4,1,1,2,35,1
29846,9,2,17001,2,17,1,1,4,9,5,1,2,2,53,1
29846,9,2,17001,2,17,1,1,4,9,5,1,2,2,2,5
29846,9,2,17001,2,17,1,1,4,9,5,1,2,1,4,5
29846,9,2,17001,2,17,1,1,4,9,5,1,2,2,27,3
30076,3,2,17001,2,17,1,1,4,9,4,1,1,1,16,3
30076,3,2,17001,2,17,1,1,4,9,4,1,1,2,40,2
30076,3,2,17001,2,17,1,1,4,9,4,1,1,1,52,1
30076,3,2,17001,2,17,1,1,4,9,4,1,1,1,35,7
30227,3,2,17001,3,17,1,1,4,9,5,1,2,2,53,1
30227,3,2,17001,3,17,1,1,4,9,5,1,2,2,20,3
30571,3,2,17001,3,17,1,1,4,9,6,1,1,1,23,3
30571,3,2,17001,3,17,1,1,4,9,6,1,1,1,52,1
30571,3,2,17001,3,17,1,1,4,9,6,1,1,2,42,2
30571,3,2,17001,3,17,1,1,4,9,6,1,1,1,18,3
30846,3,2,17380,2,17,1,1,5,9,3,1,1,2,62,1
30846,3,2,17380,2,17,1,1,5,9,3,1,1,1,40,3
31146,3,2,17001,1,17,2,3,4,9,5,1,2,2,18,3
31146,3,2,17001,1,17,2,3,4,9,5,1,2,2,43,2
31146,3,2,17001,1,17,2,3,4,9,5,1,2,1,42,1
31146,3,2,17001,1,17,2,3,4,9,5,1,2,1,22,3
31205,3,2,17001,1,17,1,1,5,9,7,1,1,1,27,1
31205,3,2,17001,1,17,1,1,5,9,7,1,1,2,25,2
31298,3,1,17001,3,17,2,2,3,9,7,1,1,2,7,5
31298,3,1,17001,3,17,2,2,3,9,7,1,1,1,27,5
31298,3,1,17001,3,17,2,2,3,9,7,1,1,1,51,3
31298,3,1,17001,3,17,2,2,3,9,7,1,1,2,19,5
31298,3,1,17001,3,17,2,2,3,9,7,1,1,2,70,2
31298,3,1,17001,3,17,2,2,3,9,7,1,1,1,11,5
31298,3,1,17001,3,17,2,2,3,9,7,1,1,1,75,1
31417,3,1,17001,3,17,1,1,4,9,5,1,1,1,4,3
31417,3,1,17001,3,17,1,1,4,9,5,1,1,2,27,2
31417,3,1,17001,3,17,1,1,4,9,5,1,1,1,2,3
31417,3,1,17001,3,17,1,1,4,9,5,1,1,1,25,1
32013,3,2,17001,1,17,1,2,4,9,5,1,1,2,39,3
32013,3,2,17001,1,17,1,2,4,9,5,1,1,1,30,3
32013,3,2,17001,1,17,1,2,4,9,5,1,1,1,19,3
32013,3,2,17001,1,17,1,2,4,9,5,1,1,2,61,1
32013,3,2,17001,1,17,1,2,4,9,5,1,1,1,38,4
32013,3,2,17001,1,17,1,2,4,9,5,1,1,2,13,5
32013,3,2,17001,1,17,1,2,4,9,5,1,1,1,28,3
32238,3,2,17380,2,17,2,4,4,9,3,1,2,2,63,1
32238,3,2,17380,2,17,2,4,4,9,3,1,2,2,30,3
32238,3,2,17380,2,17,2,4,4,9,3,1,2,2,11,5
32238,3,2,17380,2,17,2,4,4,9,3,1,2,1,16,5
32392,3,2,17001,3,17,2,3,4,9,5,1,2,2,20,1
32392,3,2,17001,3,17,2,3,4,9,5,1,2,1,23,7
32457,3,2,17001,2,17,1,1,4,9,4,1,1,2,48,2
32457,3,2,17001,2,17,1,1,4,9,4,1,1,1,17,3
32457,3,2,17001,2,17,1,1,4,9,4,1,1,1,60,1
32457,3,2,17001,2,17,1,1,4,9,4,1,1,2,81,6
32632,3,2,17001,3,17,1,1,4,9,3,1,1,2,64,2
32632,3,2,17001,3,17,1,1,4,9,3,1,1,1,65,1
33073,3,2,17001,3,17,1,1,4,9,5,1,1,2,45,2
33073,3,2,17001,3,17,1,1,4,9,5,1,1,1,60,1
33073,3,2,17001,3,17,1,1,4,9,5,1,1,1,32,3
33486,3,2,17001,2,17,1,1,1,9,4,1,1,2,45,1
33486,3,2,17001,2,17,1,1,1,9,4,1,1,1,26,3
33486,3,2,17001,2,17,1,1,1,9,4,1,1,1,51,2
33486,3,2,17001,2,17,1,1,1,9,4,1,1,2,18,3
34682,3,1,17001,2,17,1,1,4,9,4,1,1,1,25,1
34787,3,1,17001,4,17,1,1,4,9,7,1,1,1,54,2
34787,3,1,17001,4,17,1,1,4,9,7,1,1,2,52,1
35020,3,2,17001,3,17,1,1,5,9,5,1,1,1,27,10
35020,3,2,17001,3,17,1,1,5,9,5,1,1,2,31,10
35020,3,2,17001,3,17,1,1,5,9,5,1,1,1,22,1
35020,3,2,17001,3,17,1,1,5,9,5,1,1,2,24,2
35020,3,2,17001,3,17,1,1,5,9,5,1,1,2,41,10
35035,3,1,17001,3,17,2,3,4,9,7,1,1,1,25,3
35035,3,1,17001,3,17,2,3,4,9,7,1,1,2,61,1
35937,3,2,17174,2,17,1,1,5,9,5,1,2,2,25,1
