"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO"
"63001",1,1,3,2,1156
"63001",1,1,3,5,1183
"63001",1,1,3,2,1207
"63001",1,1,3,3,1225
"63001",1,1,3,6,1237
"63001",1,1,3,7,1252
"63001",1,1,3,4,1262
"63001",1,1,3,3,1274
"63001",1,1,1,2,1335
"63001",1,1,1,4,1380
"63001",1,1,1,2,1392
"63001",1,1,1,4,1410
"63001",1,1,1,4,1437
"63001",1,1,1,1,1540
"63001",1,1,1,4,1559
"63001",1,1,1,2,1568
"63001",1,1,1,4,1581
"63001",1,1,1,3,1601
"63001",1,1,2,5,1630
"63001",1,1,1,4,1634
"63001",1,1,1,6,1657
"63001",1,1,2,3,1658
"63001",1,1,1,2,1677
"63001",1,1,2,4,1681
"63001",1,1,1,4,1695
"63001",1,1,2,3,1702
"63001",1,1,2,2,2233
"63001",1,1,2,3,2241
"63001",1,1,2,4,2250
"63001",1,1,3,5,2255
"63001",1,1,3,3,2267
"63130",2,1,1,4,2292
"63001",1,1,3,1,2370
"63001",1,1,3,3,2398
"63130",1,1,2,2,2413
"63001",1,1,3,2,2448
"63130",1,1,1,2,2612
"63130",1,1,1,2,2621
"63001",1,1,3,4,2626
"63130",1,1,2,3,2632
"63130",1,1,1,3,2642
"63130",1,1,2,2,2656
"63130",1,1,2,3,2659
"63130",1,1,2,3,2670
"63130",1,1,2,4,2674
"63130",1,1,2,4,2702
"63130",1,1,2,1,2712
"63130",1,1,2,1,2739
"63001",1,1,2,1,4181
"63130",1,1,3,5,4184
"63130",1,1,2,4,4188
"63001",1,1,2,4,4194
"63001",1,1,2,2,4201
"63001",1,1,2,3,4209
"63130",1,1,3,9,4220
"63001",1,1,2,6,4225
"63001",1,1,2,3,4230
"63001",1,1,2,6,4243
"63001",1,1,2,4,4266
"63001",1,1,3,4,4277
"63130",2,1,2,5,4294
"63001",1,1,3,3,4300
"63130",2,1,2,2,4339
"63001",1,1,2,3,4342
"63001",1,1,2,3,4372
"63130",1,1,3,7,4386
"63001",1,1,2,3,4394
"63001",1,1,2,1,4423
"63130",1,1,3,4,4470
"63130",1,1,3,3,4482
"63130",1,1,3,4,4501
"63130",1,1,2,4,4505
"63130",1,1,2,3,4516
"63001",1,1,2,2,4518
"63130",1,1,1,3,4531
"63001",1,1,2,5,4539
"63130",1,1,2,2,4564
"63001",1,1,2,4,4565
"63130",1,1,1,3,4568
"63130",1,1,1,5,4607
"63001",1,1,2,4,4608
"63130",1,1,3,4,4627
"63001",1,1,2,4,4638
"63130",1,1,3,3,4640
"63130",1,1,3,3,4677
"63130",1,1,3,2,4705
"63130",1,1,3,2,4726
"63130",1,1,2,4,4745
"63130",1,1,1,2,4757
"63130",1,1,1,2,4840
"63130",1,1,1,5,4853
"63130",1,1,1,4,4866
"63130",1,1,2,2,5464
"63130",1,1,2,4,5470
"63130",1,1,2,4,5482
"63130",1,1,3,2,5512
"63130",1,1,3,4,5547
"63130",1,1,2,2,5548
"63130",2,1,2,3,5567
"63130",1,1,3,3,5571
"63130",1,1,3,4,5581
"63130",1,1,2,2,5589
"63130",1,1,2,2,5679
"63130",1,1,1,2,5688
"63130",1,1,2,3,5699
"63130",1,1,2,2,5734
"63001",1,1,2,2,6322
"63001",1,1,1,2,6324
"63001",1,1,2,5,6335
"63130",1,1,2,3,6623
"63001",1,1,2,2,6627
"63130",1,1,2,3,6628
"63130",1,1,2,7,6630
"63001",1,1,3,3,6642
"63001",1,1,3,4,6645
"63001",1,1,2,2,6650
"63001",1,1,2,3,6657
"63001",1,1,2,4,6673
"63001",1,1,3,1,6679
"63130",1,1,2,7,6750
"63130",1,1,1,6,7185
"63130",1,1,3,4,7211
"63130",1,1,3,4,7227
"63130",1,1,1,3,7237
"63130",1,1,1,2,7272
"63130",1,1,3,3,7304
"63130",1,1,3,4,7314
"63130",1,1,3,2,7325
"63130",1,1,2,4,7395
"63130",1,1,3,2,7408
"63130",1,1,1,2,7409
"63130",1,1,3,4,7413
"63130",1,1,4,3,7420
"63130",1,1,2,2,7422
"63130",1,1,3,2,7435
"63130",1,1,4,2,7441
"63130",1,1,3,4,7447
"63130",1,1,4,4,7471
"63130",1,1,4,3,7499
"63130",1,1,4,2,7541
"63130",1,1,3,5,7644
"63130",1,1,3,2,7721
"63470",1,1,3,1,8286
"63470",1,1,3,1,8302
"63470",1,1,2,2,8313
"63470",1,1,2,3,8317
"63470",1,1,2,2,8359
"63130",1,1,3,4,8382
"63001",1,1,2,1,8397
"63001",1,1,2,5,8416
"63001",1,1,3,3,8443
"63470",3,1,2,4,8474
"63001",1,1,2,5,8491
"63001",1,1,3,5,8526
"63470",3,1,2,4,8546
"63001",1,1,3,3,8562
"63001",1,1,3,3,8575
"63130",1,1,1,4,8581
"63470",1,1,2,3,8598
"63001",1,1,3,5,8601
"63130",1,1,1,1,8633
"63001",1,1,3,6,8644
"63470",1,1,1,2,8645
"63001",1,1,3,2,8663
"63001",1,1,1,4,8668
"63001",1,1,2,4,8682
"63001",1,1,1,6,8709
"63001",1,1,1,2,8737
"63001",1,1,3,3,8798
"63001",1,1,2,3,8803
"63001",1,1,3,2,8810
"63001",1,1,2,4,8825
"63001",1,1,3,4,8826
"63001",1,1,3,4,8850
"63001",1,1,3,4,8871
"63130",2,1,2,2,8879
"63001",1,1,2,3,8880
"63130",1,1,2,4,8905
"63001",1,1,3,2,8908
"63001",1,1,3,4,8934
"63470",1,1,1,5,8945
"63001",1,1,1,5,8949
"63470",1,1,2,3,8969
"63001",1,1,3,1,8979
"63001",1,1,2,4,8991
"63470",1,1,2,3,8992
"63470",1,1,2,2,9012
"63001",1,1,3,3,9022
"63470",1,1,2,3,9032
"63001",1,1,2,2,9038
"63001",1,1,3,5,9051
"63001",1,1,2,2,9062
"63470",1,1,2,2,9290
"63470",1,1,2,3,9303
"63470",1,1,2,2,9321
"63001",1,1,1,4,9377
"63001",1,1,1,6,9407
"63001",1,1,1,3,9436
"63001",1,1,1,3,9461
"63001",1,1,1,3,9542
"63001",1,1,2,3,9568
"63001",1,1,1,5,9574
"63001",1,1,1,4,9588
"63001",1,1,3,4,9728
"63001",1,1,3,6,9730
"63001",1,1,1,4,9872
"63001",1,1,1,3,9903
"63001",1,1,2,2,9949
"63001",1,1,2,3,9967
"63001",1,1,2,4,9981
"63001",1,1,3,4,10235
"63001",1,1,3,2,10266
"63001",1,1,3,3,10281
"63001",2,1,3,2,10305
"63001",1,1,1,4,10349
"63470",1,1,2,2,10358
"63001",1,1,1,4,10383
"63470",2,1,1,2,10391
"63001",1,1,1,2,10500
"63001",1,1,1,2,10518
"63001",1,1,1,4,10527
"63470",1,1,2,3,10546
"63001",1,1,1,3,10553
"63470",1,1,2,2,10569
"63001",2,1,1,4,10578
"63001",1,1,1,5,10613
"63470",1,1,2,2,10620
"63001",1,1,1,6,10689
"63470",1,1,2,4,10713
"63001",2,1,1,2,10724
"63470",1,1,2,4,10736
"63001",2,1,1,8,10750
"63001",2,1,1,4,10772
"63001",2,1,1,3,10785
"63470",1,1,2,4,12240
"63470",1,1,2,5,12382
"63470",1,1,2,5,12409
"63470",1,1,2,4,12454
"63470",1,1,2,3,13176
"63470",1,1,2,4,13231
"63470",1,1,2,2,13397
"63470",1,1,2,2,13436
"63470",1,1,2,3,13472
"63470",1,1,2,3,13523
"63470",1,1,1,2,13667
"63001",1,1,2,2,13698
"63470",1,1,1,4,13705
"63001",1,1,2,3,13712
"63001",1,1,2,2,13719
"63001",1,1,2,4,13734
"63470",1,1,1,5,13741
"63001",1,1,1,6,13751
"63470",1,1,1,3,13752
"63470",1,1,2,3,13783
"63470",1,1,2,2,13800
"63001",1,1,3,2,13803
"63001",2,1,1,7,13838
"63001",1,1,3,3,13846
"63470",1,1,1,3,13866
"63001",1,1,3,2,13932
"63001",1,1,1,8,13943
"63470",1,1,1,12,13953
"63470",1,1,2,3,14036
"63470",1,1,2,2,14091
"63470",1,1,1,3,14103
"63001",1,1,2,4,14140
"63470",1,1,1,2,14141
"63470",1,1,1,3,14149
"63470",1,1,1,3,14197
"63001",1,1,2,4,14211
"63470",1,1,1,4,14212
"63470",1,1,1,3,14253
"63470",1,1,1,2,14264
"63470",1,1,1,3,14283
"63470",1,1,1,5,14291
"63470",1,1,1,4,14307
"63470",1,1,1,2,14440
"63470",1,1,1,6,14473
"63001",1,1,2,3,14474
"63001",1,1,3,4,14506
"63470",1,1,1,3,14510
"63470",1,1,1,4,14521
"63470",1,1,1,2,14552
"63001",1,1,3,3,14568
